檔名,偵測到,數量,耗時
M20220814_021014_Lulin_NB[P].jpg,Yes,2,0.020
M20220814_022207_Lulin_NB[P].jpg,Yes,1,0.013
M20220814_022750_Lulin_NB[P].jpg,Yes,1,0.017
M20220814_023202_Lulin_NB[P].jpg,Yes,1,0.019
M20220814_023556_Lulin_NB[P].jpg,Yes,1,0.003
M20220814_023624_Lulin_NB[P].jpg,Yes,1,0.018
M20220814_025638_Lulin_NB[P].jpg,No,0,0.023
M20220814_025842_Lulin_NB[P].jpg,No,0,0.017
M20220814_032134_Lulin_NB[P].jpg,Yes,1,0.021
M20220814_032423_Lulin_NB[P].jpg,No,0,0.020
M20220814_035639_Lulin_NB[P].jpg,Yes,2,0.020
M20220814_040340_Lulin_NB[P].jpg,Yes,1,0.020
M20220814_040543_Lulin_NB[P].jpg,No,0,0.014
M20220814_040551_Lulin_NB[P].jpg,Yes,1,0.012
M20220814_042200_Lulin_NB[P].jpg,Yes,2,0.016
M20220814_042247_Lulin_NB[P].jpg,Yes,1,0.011
M20220814_042350_Lulin_NB[P].jpg,Yes,2,0.003
M20220814_043410_Lulin_NB[P].jpg,Yes,1,0.015
M20220814_044711_Lulin_NB[P].jpg,Yes,2,0.016
M20220814_044914_Lulin_NB[P].jpg,Yes,1,0.015
M20220814_200944_Lulin_NB[P].jpg,No,0,0.031
M20220814_201257_Lulin_NB[P].jpg,Yes,1,0.011
M20220814_220618_Lulin_NB[P].jpg,Yes,1,0.021
M20220814_231941_Lulin_NB[P].jpg,Yes,1,0.015
M20220814_232034_Lulin_NB[P].jpg,Yes,1,0.016
M20220814_233139_Lulin_NB[P].jpg,Yes,1,0.016
M20220815_002038_Lulin_NB[P].jpg,Yes,1,0.016
M20220815_002957_Lulin_NB[P].jpg,Yes,2,0.020
M20220815_004049_Lulin_NB[P].jpg,Yes,2,0.012
M20220815_010031_Lulin_NB[P].jpg,Yes,2,0.015
M20220815_010701_Lulin_NB[P].jpg,Yes,1,0.021
M20220815_010918_Lulin_NB[P].jpg,Yes,1,0.017
M20220815_011405_Lulin_NB[P].jpg,Yes,1,0.021
M20220815_012800_Lulin_NB[P].jpg,Yes,2,0.011
M20220815_013109_Lulin_NB[P].jpg,Yes,1,0.018
M20220815_021308_Lulin_NB[P].jpg,Yes,1,0.017
M20220815_021912_Lulin_NB[P].jpg,Yes,1,0.016
M20220815_022102_Lulin_NB[P].jpg,Yes,1,0.016
M20220815_030456_Lulin_NB[P].jpg,Yes,1,0.020
